Correctional Facilities,Location,County
| Riverbend Maximum Security Institution,Nashville ,Davidson 
" Turney Center Industrial Complex


",Only,Hickman
"  

Morgan County Correctional Complex
",Wartburg,Morgan 
West Tennessee State Penitentiary,Henning,Lauderdale 
Bledsoe County Correctional Complex,Pikeville,Bledsoe
"| Northeast Correctional Complex


",Mountain City,Johnson 
South Central Correctional Facility,Clifton  ,Wayne 
Northwest Correctional Complex,Tiptonville,Lake 
 Hardeman County Correctional Facility," 
Whiteville 

",Hardeman 
Lois M. DeBerry Special Needs Facility ,Nashville,Davidson 
Whiteville Correctional Facility ,Whiteville,Hardeman
Trousdale Turner Correctional Center,Hartsville,Trousdale
,,
,,
,,
,,
,,
